Phrase,Time,INF,IF,F,C
my watch fell in the water,9.333333,0,1,1,20
prevailing wind from the east,16.666667,1,1,1,23
never too rich and never too thin,12.0,1,0,0,26
breathing is difficult,9.230769,0,1,1,19
I can see the rings on Saturn,16.235294,1,1,1,21
physics and chemistry are hard,11.142857,0,0,0,26
my bank account is overdrawn,9.931034,0,0,0,24
elections bring out the best,19.2,1,0,0,23
we are having spaghetti,8.888889,1,1,1,18
time to go shopping,9.142857,0,0,0,16
a problem with the engine,9.333333,1,1,1,19
elephants are afraid of mice,11.076923,1,0,0,23
my favorite place to visit,9.777778,1,0,0,21
three two one zero blast off,12.545455,1,1,1,21
my favorite subject is psychology,12.0,1,1,1,27
circumstances are unacceptable,19.764706,0,1,1,27
watch out for low flying objects,17.052632,1,1,1,25
if at first you do not succeed,16.0,0,0,0,24
please provide your date of birth,22.4,1,1,0,26
we run the risk of failure,8.4,0,1,0,20
prayer in schools offends some,18.352941,1,1,0,24
he is just like everyone else,12.521739,0,0,0,24
great disturbance in the force,11.555556,0,1,1,25
love means many things,9.5,0,0,0,19
you must be getting old,10.363636,0,0,0,19
the world is a stage,7.384615,0,0,0,16
can I skate with sister today,12.521739,0,0,1,24
neither a borrower nor a lender be,14.0,1,0,0,27
one heck of a question,12.0,0,0,0,18
question that must be answered,11.555556,1,0,0,25
beware the ides of March,10.0,1,0,0,19
double double toil and trouble,13.0,0,0,1,26
the power of denial,9.142857,0,0,0,16
I agree with you,5.777778,0,0,0,13
do not say anything,12.0,0,0,0,16
play it again Sam,5.793103,0,0,0,14
the force is with you,8.16,0,0,0,17
you are not a jedi yet,7.285714,0,0,0,17
an offer you cannot refuse,13.894737,0,0,1,22
are you talking to me,7.555556,0,0,0,17
yes you are very smart,13.5,0,0,0,18
all work and no play,7.111111,0,0,0,16
hair gel is very greasy,13.411765,0,0,0,19
Valium in the economy size,14.666667,0,1,1,21
the facts get in the way,8.444444,0,0,0,19
the dreamers of dreams,8.142857,0,0,0,19
did you have a good time,7.6,0,0,0,19
space is a high priority,8.888889,0,1,0,19
you are a wonderful example,10.222222,0,1,0,22
do not squander your time,11.454545,1,1,1,19
do not drink too much,9.714286,0,0,0,17
take a coffee break,6.4,0,0,0,16
popularity is desired by all,11.076923,1,0,0,23
the music is better than it sounds,13.44,1,1,1,26
starlight and dewdrop,9.12,0,0,0,19
the living is easy,7.5,0,0,0,15
fish are jumping,5.793103,0,0,0,14
the cotton is high,8.571429,0,0,0,15
drove my chevy to the levee,10.56,0,1,0,21
but the levee was dry,8.16,0,0,0,17
I took the rover from the shop,19.2,0,0,0,24
movie about a nutty professor,13.636364,0,0,1,25
come and see our new car,7.862069,0,0,0,19
coming up with killer sound bites,22.4,0,0,0,28
I am going to a music lesson,12.571429,1,0,1,21
the opposing team is over there,18.352941,0,0,1,26
soon we will return from the city,12.461538,1,0,1,26
I am wearing a tie and a jacket,15.157895,0,1,0,23
the quick brown fox jumped,11.478261,1,1,1,20
all together in one big pile,14.526316,1,0,0,22
wear a crown with many jewels,12.0,1,1,0,22
there will be some fog tonight,12.5,1,1,1,23
I am allergic to bees and peanuts,12.0,0,1,1,26
he is still on our team,8.307692,0,0,0,18
the dow jones index has risen,18.0,0,0,0,24
my preferred treat is chocolate,11.172414,1,1,0,25
the king sends you to the tower,10.344828,1,0,0,24
we are subjects and must obey,11.076923,0,0,1,24
mom made her a turtleneck,16.8,1,0,0,20
goldilocks and the three bears,14.857143,0,0,1,26
we went grocery shopping,13.263158,1,0,0,20
the assignment is due today,10.615385,1,0,1,22
what you see is what you get,9.103448,0,1,0,21
for your information only,14.666667,1,0,0,21
a quarter of a century,9.391304,0,0,0,18
the store will close at ten,9.777778,1,0,1,21
head shoulders knees and toes,13.636364,1,0,0,24
vanilla flavored ice cream,9.857143,0,0,0,23
frequently asked questions,13.714286,0,1,1,23
round robin scheduling,10.0,1,1,0,18
information super highway,13.8,0,1,1,22
my favorite web browser,12.0,0,0,0,20
the laser printer is jammed,12.545455,0,0,1,23
all good boys deserve fudge,12.545455,1,1,1,21
the second largest country,16.235294,1,1,0,21
call for more details,12.0,0,0,0,18
just in time for the party,8.4,1,0,1,20
have a good weekend,6.4,0,0,0,16
video camera with a zoom lens,15.157895,1,1,0,22
what a monkey sees a monkey will do,21.0,0,0,1,28
that is very unfortunate,10.5,0,0,0,21
the back yard of our house,9.692308,0,1,0,20
this is a very good idea,10.857143,0,0,0,19
reading week is just about here,20.8,1,1,0,24
our fax number has changed,9.103448,0,1,0,21
thank you for your help,9.12,0,0,0,19
no exchange without a bill,9.777778,0,0,1,22
the early bird gets the worm,17.25,1,1,1,21
buckle up for safety,7.555556,0,0,0,17
this is too much to handle,14.0,0,1,0,20
protect your environment,16.5,1,0,0,21
world population is growing,11.076923,0,0,1,24
the library is closed today,13.8,1,0,1,22
Mary had a little lamb,7.2,0,0,0,18
teaching services will help,11.52,1,0,1,23
we accept personal checks,15.529412,1,0,1,21
this is a non profit organization,19.764706,0,0,1,28
user friendly interface,9.692308,0,1,1,20
healthy food is good for you,10.615385,1,0,0,22
hands on experience with a job,15.789474,0,1,0,24
this watch is too expensive,9.517241,0,0,1,23
the postal service is very slow,13.565217,1,1,1,24
communicate through email,16.235294,0,0,1,23
the capital of our nation,12.6,0,1,1,20
travel at the speed of light,11.5,1,1,0,21
I do not fully agree with you,18.4,1,1,0,21
gas bills are sent monthly,10.153846,0,0,1,22
earth quakes are predictable,16.666667,0,1,1,24
life is but a dream,6.428571,0,0,0,15
take it to the recycling depot,10.714286,0,1,0,24
sent this by registered mail,13.090909,1,0,0,23
fall is my favorite season,11.0,1,1,0,20
a fox is a very smart animal,8.8,1,0,0,21
the kids are very excited,12.6,1,1,0,19
parking lot is full of trucks,13.714286,1,0,1,23
my bike has a flat tire,7.714286,0,0,0,18
do not walk too quickly,10.857143,0,0,0,19
a duck quacks to ask for food,15.333333,1,0,1,22
limited warranty of two years,16.666667,1,0,0,24
the four seasons will come,15.529412,0,0,0,22
the sun rises in the east,14.117647,0,0,1,20
it is very windy today,12.0,0,0,0,18
do not worry about this,8.444444,0,0,0,19
dashing through the snow,13.263158,0,0,0,21
want to join us for lunch,14.117647,0,0,1,20
stay away from strangers,12.0,1,1,0,19
accompanied by an adult,8.275862,1,1,1,18
see you later alligator,10.0,1,0,0,19
make my day you sucker,10.8,0,0,0,18
I can play much better now,11.454545,0,1,1,20
she wears too much makeup,14.0,0,0,0,21
my bare face in the wind,9.913043,0,0,0,19
batman wears a cape,6.857143,0,0,0,16
I hate baking pies,8.571429,0,0,0,15
lydia wants to go home,8.64,0,0,0,18
win first prize in the contest,13.636364,1,0,0,24
freud wrote of the ego,10.8,0,0,0,18
I do not care if you do that,13.263158,1,1,1,19
always cover all the bases,10.56,0,0,0,22
nobody cares anymore,7.448276,0,0,0,18
can we play cards tonight,9.692308,0,1,1,20
get rid of that immediately,11.5,0,0,1,23
I watched blazing saddles,15.529412,0,0,0,22
the sum of the parts,6.62069,0,0,0,16
they love to yap about nothing,11.538462,0,1,0,24
peek out the window,12.8,0,0,0,16
be home before midnight,10.434783,1,1,1,18
he played a pimp in that movie,16.941176,1,1,0,22
I skimmed through your proposal,12.96,1,1,1,25
he was wearing a sweatshirt,10.222222,1,1,1,21
no more war no more bloodshed,9.931034,1,1,0,22
toss the ball around,9.714286,0,0,0,17
I will meet you at noon,10.8,0,0,0,18
I want to hold your hand,8.444444,0,0,0,19
the children are playing,13.263158,0,0,1,21
superman never wore a mask,12.0,0,0,0,22
I listen to the tape everyday,15.157895,0,1,0,23
he is shouting loudly,10.8,0,0,0,18
correct your diction immediately,21.75,1,0,1,28
seasoned golfers love the game,18.352941,0,1,0,25
he cooled off after she left,15.333333,1,1,0,21
my dog sheds his hair,11.333333,0,0,0,17
join us on the patio,9.142857,0,0,0,16
these cookies are so amazing,13.090909,0,0,1,24
I can still feel your presence,14.285714,0,0,0,25
the dog will bite you,9.272727,0,0,0,17
a most ridiculous thing,9.6,0,1,1,19
where did you get that tie,11.454545,0,1,0,20
what a lovely red jacket,15.0,0,1,0,19
do you like to shop on Sunday,14.526316,1,0,1,22
I spilled coffee on the carpet,17.647059,0,1,1,24
the largest of the five oceans,11.538462,1,1,1,23
shall we play a round of cards,19.2,1,1,1,22
olympic athletes use drugs,9.517241,1,0,0,22
my mother makes good cookies,18.0,1,1,1,22
do a good deed to someone,10.909091,0,0,0,20
quick there is someone knocking,13.5,1,1,0,25
flashing red light means stop,13.043478,0,1,1,24
sprawling subdivisions are bad,18.0,0,0,0,27
where did I leave my glasses,18.4,0,1,0,22
on the way to the cottage,13.333333,0,1,0,19
a lot of chlorine in the water,16.941176,1,1,1,22
do not drink the water,13.5,0,0,0,18
my car always breaks in the winter,16.0,1,1,0,26
santa claus got stuck,8.64,0,0,0,18
public transit is much faster,13.636364,0,0,0,25
zero in on the facts,7.68,0,0,0,16
make up a few more phrases,9.692308,1,0,0,20
my fingers are very cold,15.0,1,0,0,19
rain rain go away,9.882353,0,0,0,14
bad for the environment,10.0,1,1,0,18
universities are too expensive,16.2,0,1,0,26
the price of gas is high,8.142857,0,0,0,19
the winner of the race,12.705882,0,0,0,18
we drive on parkways,7.034483,0,0,0,17
we park in driveways,6.8,0,0,0,17
go out for some pizza and beer,13.714286,1,1,0,22
effort is what it will take,8.8,1,0,1,21
where can my little dog be,8.689655,0,0,0,21
if you were not so stupid,12.0,1,1,1,18
not quite so smart as you think,12.0,0,1,1,24
do you like to go camping,9.230769,0,0,0,20
this person is a disaster,16.8,1,0,1,20
the imagination of the nation,12.5,0,0,1,25
universally understood to be wrong,13.333333,0,1,0,29
listen to five hours of opera,12.0,1,0,1,23
an occasional taste of chocolate,16.0,1,0,0,27
victims deserve more redress,15.0,1,0,1,24
the protesters blocked all traffic,22.5,1,0,0,29
the acceptance speech was boring,16.0,0,1,0,27
work hard to reach the summit,16.941176,0,1,0,23
a little encouragement is needed,22.4,0,0,1,28
stiff penalty for staying out late,13.384615,0,1,1,28
the pen is mightier than the sword,14.0,1,1,1,26
exceed the maximum speed limit,15.6,0,1,1,25
in sharp contrast to your words,14.181818,1,0,1,25
this leather jacket is too warm,14.181818,0,0,1,26
consequences of a wrong turn,14.4,1,1,0,22
this mission statement is baloney,16.571429,0,1,1,28
you will loose your voice,14.823529,1,0,1,20
every apple from every tree,13.8,0,1,1,22
are you sure you want this,8.4,1,0,0,20
the fourth edition was better,18.75,0,1,1,24
this system of taxation,13.333333,1,0,1,19
beautiful paintings in the gallery,14.4,0,0,1,30
a yard is almost as long as a meter,16.2,1,1,0,25
we missed your birthday,9.230769,0,1,1,19
coalition governments never work,12.0,1,1,1,27
destruction of the rain forest,18.352941,0,0,1,26
I like to play tennis,13.6,0,0,0,17
acutely aware of her good looks,18.352941,0,0,0,26
you want to eat your cake,10.434783,1,1,1,18
machinery is too complicated,20.0,0,1,0,24
a glance in the right direction,12.48,0,0,1,26
I just cannot figure this out,10.666667,0,1,1,23
please follow the guidelines,11.538462,1,1,0,23
an airport is a very busy place,11.538462,0,0,0,25
mystery of the lost lagoon,9.777778,1,1,1,20
is there any indication of this,14.181818,0,1,0,25
the chamber makes important decisions,26.4,0,0,1,33
this phenomenon will never occur,14.0,0,1,1,27
obligations must be met first,17.647059,1,0,0,24
valid until the end of the year,17.647059,1,1,1,23
file all complaints in writing,13.565217,1,0,1,25
tickets are very expensive,15.333333,1,1,1,21
a picture is worth many words,16.941176,1,1,0,22
this camera takes nice photographs,18.0,0,1,1,29
it looks like a shack,7.555556,0,0,0,17
the dog buried the bone,9.913043,0,0,0,19
the daring young man,11.333333,0,0,0,17
this equation is too complicated,12.444444,1,0,0,27
express delivery is very fast,10.344828,1,1,1,23
I will put on my glasses,7.862069,0,0,0,19
a touchdown in the last minute,15.0,0,1,1,24
the treasury department is broke,13.44,0,0,1,28
a good response to the question,14.181818,1,1,1,24
well connected with people,13.142857,1,1,1,21
the bathroom is good for reading,11.571429,1,1,0,25
the generation gap gets wider,16.666667,0,0,0,25
chemical spill took forever,16.0,1,1,1,22
prepare for the exam in advance,11.142857,0,0,1,26
interesting observation was made,13.384615,1,1,1,27
bank transaction was not registered,19.578947,0,0,1,31
your etiquette needs some work,14.181818,1,0,1,25
we better investigate this,12.0,0,0,0,23
stability of the nation,11.428571,1,1,0,18
house with new electrical panel,20.25,1,1,1,25
our silver anniversary is coming,22.4,0,0,0,28
the presidential suite is very busy,18.947368,0,1,0,29
the punishment should fit the crime,22.5,0,1,1,29
sharp cheese keeps the mind sharp,21.0,1,1,0,26
the registration period is over,16.2,0,1,0,26
you have my sympathy,8.5,0,0,0,17
the objective of the exercise,16.666667,1,0,1,24
historic meeting without a result,12.428571,1,1,1,27
very reluctant to enter,8.275862,0,1,1,19
good at addition and subtraction,17.684211,1,0,1,27
six daughters and seven sons,13.090909,0,0,1,24
a thoroughly disgusting thing to say,24.8,0,0,1,31
sign the withdrawal slip,8.689655,0,0,0,21
relations are very strained,18.0,1,1,0,22
the minimum amount of time,9.777778,0,0,0,22
a very traditional way to dress,11.142857,1,0,1,25
the aspirations of a nation,10.615385,0,0,0,23
medieval times were very hard,10.0,0,1,1,24
a security force of eight thousand,14.5,0,1,1,28
there are winners and losers,12.0,0,1,0,23
the voters turfed him out,8.4,0,1,1,20
pay off a mortgage for a house,19.2,1,0,1,23
the collapse of the Roman empire,15.428571,1,1,1,25
did you see that spectacular explosion,20.842105,0,0,0,33
keep receipts for all your expenses,12.857143,0,0,1,30
the assault took six months,12.545455,1,1,0,21
get your priorities in order,12.521739,0,0,0,24
traveling requires a lot of fuel,21.6,0,0,1,27
longer than a football field,15.157895,0,1,0,23
a good joke deserves a good laugh,20.25,0,0,0,27
the union will go on strike,12.571429,0,1,1,21
never mix religion and politics,13.5,0,1,1,26
interactions between men and women,15.0,0,0,0,30
where did you get such a silly idea,11.586207,0,0,0,28
it should be sunny tomorrow,10.615385,1,0,1,22
a psychiatrist will help you,10.666667,1,0,0,23
you should visit to a doctor,16.235294,1,0,0,22
you must make an appointment,15.157895,0,0,0,24
the fax machine is broken,13.263158,0,0,0,21
players must know all the rules,11.142857,1,1,0,24
a dog is the best friend of a man,12.5,0,1,0,24
would you like to come to my house,10.8,1,1,1,25
February has an extra day,10.08,0,1,1,20
do not feel too bad about it,16.5,0,1,1,21
this library has many books,13.142857,1,1,0,21
construction makes traveling difficult,21.0,0,1,0,34
he called seven times,9.0,0,0,0,18
that is a very odd question,16.5,0,1,0,21
a feeling of complete exasperation,12.0,0,0,0,30
we must redouble our efforts,13.714286,0,1,0,23
no kissing in the library,11.454545,1,0,1,20
that agreement is rife with problems,16.909091,1,0,0,30
vote according to your conscience,18.315789,0,0,0,29
my favourite sport is racketball,16.0,1,1,1,26
sad to hear that news,13.6,0,0,0,17
the gun discharged by accident,12.48,0,0,0,26
one of the poorest nations,15.529412,0,0,1,22
the algorithm is too complicated,13.44,0,0,1,28
your presentation was inspiring,21.0,1,1,0,26
that land is owned by the government,17.142857,1,0,0,29
burglars never leave their business card,24.705882,0,0,0,35
the fire blazed all weekend,13.8,0,1,0,22
if diplomacy does not work,9.777778,1,0,0,21
please keep this confidential,10.758621,1,1,1,24
the rationale behind the decision,20.470588,0,1,0,28
the cat has a pleasant temperament,19.333333,1,0,1,28
our housekeeper does a thorough job,12.857143,1,0,1,29
her majesty visited our country,13.5,0,1,0,26
handicapped persons need consideration,16.8,0,1,0,34
these barracks are big enough,13.043478,0,0,0,25
sing the gospel and the blues,14.4,0,0,0,24
he underwent triple bypass surgery,12.0,0,1,0,29
the hopes of a new organization,12.48,0,0,1,26
peering through a small hole,11.52,1,0,0,23
rapidly running short on words,18.352941,0,1,0,25
it is difficult to concentrate,10.4,1,0,1,25
give me one spoonful of coffee,15.789474,0,0,1,25
two or three cups of coffee,10.56,0,0,0,22
just like it says on the can,15.529412,1,0,0,21
companies announce a merger,14.4,0,1,1,23
electric cars need big fuel cells,18.666667,1,0,0,27
the plug does not fit the socket,16.421053,0,1,0,25
drugs should be avoided,13.333333,0,0,0,20
the most beautiful sunset,11.0,0,1,1,21
we dine out on the weekends,8.8,1,0,1,21
get aboard the ship is leaving,18.75,0,1,0,24
the water was monitored daily,15.0,1,0,1,24
