Phrase,Time,INF,IF,F,C
my watch fell in the water,10.956522,2,2,1,17
prevailing wind from the east,10.714286,2,2,1,21
never too rich and never too thin,12.0,2,0,1,25
breathing is difficult,7.058824,1,0,1,19
I can see the rings on Saturn,11.04,0,1,1,22
physics and chemistry are hard,9.454545,1,2,1,23
my bank account is overdrawn,12.0,0,0,1,24
elections bring out the best,12.0,0,0,0,24
we are having spaghetti,7.272727,0,2,1,18
time to go shopping,6.0,1,0,0,15
a problem with the engine,10.5,1,2,0,18
elephants are afraid of mice,9.6,0,1,1,23
my favorite place to visit,9.103448,1,0,1,21
three two one zero blast off,11.5,1,1,1,21
my favorite subject is psychology,15.130435,2,2,0,25
circumstances are unacceptable,14.0,0,2,0,26
watch out for low flying objects,15.428571,1,1,1,25
if at first you do not succeed,8.727273,1,2,1,21
please provide your date of birth,14.608696,1,1,0,26
we run the risk of failure,8.129032,2,0,0,19
prayer in schools offends some,12.48,0,2,1,24
he is just like everyone else,12.0,1,2,1,21
great disturbance in the force,11.555556,2,2,1,22
love means many things,10.363636,1,0,0,18
you must be getting old,7.862069,0,0,0,19
the world is a stage,9.142857,1,0,0,15
can I skate with sister today,9.0,0,1,1,23
neither a borrower nor a lender be,10.83871,2,0,1,26
one heck of a question,6.352941,1,0,0,17
question that must be answered,10.758621,2,0,0,24
beware the ides of March,7.058824,0,2,1,18
double double toil and trouble,9.75,0,1,0,25
the power of denial,8.0,0,0,0,16
I agree with you,4.588235,1,0,0,12
do not say anything,7.68,1,0,0,15
play it again Sam,7.0,0,1,0,13
the force is with you,8.5,0,1,0,16
you are not a jedi yet,6.8,1,0,0,16
an offer you cannot refuse,8.0,0,2,1,20
are you talking to me,8.16,1,1,0,15
yes you are very smart,9.818182,1,1,0,16
all work and no play,5.818182,1,1,0,14
hair gel is very greasy,9.12,1,1,0,17
Valium in the economy size,8.25,1,2,0,19
the facts get in the way,8.142857,0,0,0,19
the dreamers of dreams,9.12,1,0,0,18
did you have a good time,8.142857,1,1,0,17
space is a high priority,10.909091,2,0,0,18
you are a wonderful example,12.545455,2,1,1,20
do not squander your time,8.129032,0,0,0,21
do not drink too much,6.0,1,1,0,15
take a coffee break,8.727273,0,0,0,16
popularity is desired by all,9.290323,0,1,0,23
the music is better than it sounds,12.923077,2,1,0,25
starlight and dewdrop,9.5,1,1,0,17
the living is easy,7.5,0,0,0,15
fish are jumping,7.0,0,1,0,13
the cotton is high,6.428571,0,0,0,15
drove my chevy to the levee,12.571429,2,0,0,20
but the levee was dry,6.375,1,1,0,15
I took the rover from the shop,11.52,0,1,0,23
movie about a nutty professor,12.5,0,2,0,23
come and see our new car,8.444444,1,1,0,17
coming up with killer sound bites,10.181818,0,1,0,27
I am going to a music lesson,12.571429,2,2,1,18
the opposing team is over there,11.555556,2,0,1,24
soon we will return from the city,10.125,2,2,1,23
I am wearing a tie and a jacket,12.521739,2,2,1,20
the quick brown fox jumped,11.0,0,2,0,20
all together in one big pile,8.903226,1,0,1,22
wear a crown with many jewels,9.290323,2,0,1,22
there will be some fog tonight,9.375,0,1,1,24
I am allergic to bees and peanuts,10.8,2,0,1,25
he is still on our team,6.967742,0,1,0,17
the dow jones index has risen,12.0,2,1,0,21
my preferred treat is chocolate,15.428571,1,0,1,26
the king sends you to the tower,14.285714,2,1,0,22
we are subjects and must obey,10.285714,1,0,0,23
mom made her a turtleneck,10.08,2,0,1,19
goldilocks and the three bears,13.0,0,0,1,26
we went grocery shopping,8.4,2,1,0,18
the assignment is due today,10.615385,1,2,0,20
