Phrase,Time,INF,IF,F,C
my watch fell in the water,10.5,2,2,0,17
prevailing wind from the east,12.0,0,0,1,25
never too rich and never too thin,18.0,1,2,1,24
breathing is difficult,13.333333,1,2,0,17
I can see the rings on Saturn,12.545455,0,2,0,21
physics and chemistry are hard,16.421053,0,1,0,25
my bank account is overdrawn,16.0,1,2,0,21
elections bring out the best,13.090909,1,1,1,22
we are having spaghetti,13.333333,0,1,0,19
time to go shopping,10.666667,0,0,0,16
a problem with the engine,12.0,1,1,1,19
elephants are afraid of mice,12.0,2,0,1,22
my favorite place to visit,14.666667,1,1,0,20
three two one zero blast off,12.545455,0,2,0,21
my favorite subject is psychology,14.5,1,1,0,27
circumstances are unacceptable,18.666667,1,1,1,26
watch out for low flying objects,12.96,1,1,0,25
if at first you do not succeed,16.941176,0,1,0,23
please provide your date of birth,14.0,2,1,1,25
we run the risk of failure,14.0,2,1,0,18
prayer in schools offends some,13.0,1,0,0,25
he is just like everyone else,12.521739,2,2,1,20
great disturbance in the force,12.48,0,2,0,24
love means many things,13.411765,1,0,0,18
you must be getting old,10.363636,0,0,0,19
the world is a stage,9.142857,1,0,0,15
can I skate with sister today,13.714286,0,0,0,24
neither a borrower nor a lender be,19.764706,0,1,1,27
one heck of a question,8.64,0,0,0,18
question that must be answered,13.565217,0,0,0,26
beware the ides of March,12.0,2,2,1,16
double double toil and trouble,17.333333,0,2,0,24
the power of denial,10.666667,0,1,0,15
I agree with you,8.666667,1,1,0,11
do not say anything,8.347826,0,1,0,15
play it again Sam,9.882353,1,1,0,12
the force is with you,11.333333,0,0,0,17
you are not a jedi yet,8.5,1,1,0,15
an offer you cannot refuse,14.666667,0,1,1,21
are you talking to me,8.5,0,0,0,17
yes you are very smart,9.818182,1,1,0,16
all work and no play,8.347826,0,0,0,16
hair gel is very greasy,13.411765,1,0,0,18
Valium in the economy size,12.0,2,1,0,19
the facts get in the way,9.5,0,1,0,18
the dreamers of dreams,11.4,0,1,0,18
did you have a good time,11.4,1,1,0,17
space is a high priority,10.0,2,1,0,17
you are a wonderful example,14.526316,0,1,0,22
do not squander your time,13.263158,2,0,1,19
do not drink too much,8.5,0,0,0,17
take a coffee break,7.68,1,1,0,14
