Phrase,Time,INF,IF,F,C
my watch fell in the water,12.6,0,1,1,20
prevailing wind from the east,11.111111,0,0,1,25
never too rich and never too thin,12.461538,1,0,0,26
breathing is difficult,10.909091,0,1,1,19
I can see the rings on Saturn,13.142857,0,0,0,23
physics and chemistry are hard,13.565217,0,0,1,26
my bank account is overdrawn,11.52,1,1,1,22
elections bring out the best,11.52,0,0,1,24
we are having spaghetti,11.428571,1,0,0,19
time to go shopping,7.68,0,0,0,16
a problem with the engine,9.692308,1,0,0,20
elephants are afraid of mice,12.0,1,1,0,22
my favorite place to visit,13.2,0,0,1,22
three two one zero blast off,13.8,0,0,0,23
my favorite subject is psychology,13.384615,0,1,0,28
circumstances are unacceptable,14.0,1,1,1,26
watch out for low flying objects,16.2,0,0,0,27
if at first you do not succeed,13.090909,1,0,1,23
please provide your date of birth,12.0,1,1,1,26
we run the risk of failure,11.454545,0,0,0,21
prayer in schools offends some,10.758621,0,0,1,26
he is just like everyone else,12.521739,1,1,1,22
great disturbance in the force,11.555556,0,0,1,26
love means many things,9.5,0,0,0,19
you must be getting old,8.142857,0,0,0,19
the world is a stage,8.347826,0,0,0,16
can I skate with sister today,14.4,1,1,1,22
neither a borrower nor a lender be,11.586207,0,1,0,27
one heck of a question,7.2,0,0,0,18
question that must be answered,13.0,1,1,0,24
beware the ides of March,8.888889,0,0,1,20
double double toil and trouble,11.555556,0,0,1,26
the power of denial,6.857143,0,0,0,16
I agree with you,6.0,0,0,0,13
do not say anything,8.347826,0,0,0,16
play it again Sam,6.222222,0,0,0,14
the force is with you,8.5,0,0,0,17
you are not a jedi yet,6.8,0,0,0,17
an offer you cannot refuse,12.571429,1,1,1,20
are you talking to me,7.285714,0,0,0,17
yes you are very smart,8.64,0,0,0,18
all work and no play,8.0,0,0,0,16
hair gel is very greasy,7.6,0,0,0,19
Valium in the economy size,10.56,0,1,1,21
the facts get in the way,10.857143,0,0,0,19
the dreamers of dreams,7.862069,0,0,0,19
did you have a good time,11.4,0,0,0,19
space is a high priority,8.888889,0,1,1,19
you are a wonderful example,11.5,1,0,0,22
do not squander your time,12.6,0,0,1,21
do not drink too much,10.2,0,0,0,17
take a coffee break,7.68,0,0,0,16
popularity is desired by all,10.666667,1,0,0,23
the music is better than it sounds,12.444444,1,1,1,26
starlight and dewdrop,8.142857,0,0,0,19
the living is easy,9.0,0,0,0,15
fish are jumping,6.72,0,0,0,14
the cotton is high,7.2,0,0,0,15
drove my chevy to the levee,13.2,1,0,0,21
but the levee was dry,8.869565,0,0,0,17
I took the rover from the shop,13.714286,0,1,0,23
movie about a nutty professor,11.538462,1,1,1,23
come and see our new car,9.5,0,0,0,19
coming up with killer sound bites,15.272727,1,1,1,26
I am going to a music lesson,11.0,1,0,0,21
the opposing team is over there,10.4,1,0,1,25
soon we will return from the city,10.8,1,0,0,26
I am wearing a tie and a jacket,12.521739,0,1,0,23
the quick brown fox jumped,12.0,0,0,1,22
all together in one big pile,12.545455,0,0,1,23
wear a crown with many jewels,12.521739,0,1,0,23
there will be some fog tonight,11.538462,1,1,1,23
I am allergic to bees and peanuts,16.2,0,1,0,26
he is still on our team,7.2,0,0,0,18
the dow jones index has risen,12.0,1,0,0,23
my preferred treat is chocolate,15.428571,0,0,0,27
the king sends you to the tower,11.111111,1,1,1,23
we are subjects and must obey,14.4,0,1,1,23
mom made her a turtleneck,11.454545,1,0,0,20
goldilocks and the three bears,13.0,0,0,0,26
we went grocery shopping,12.6,0,1,0,20
the assignment is due today,11.04,1,0,0,22
what you see is what you get,8.8,1,1,0,20
for your information only,10.56,0,0,0,22
a quarter of a century,9.818182,0,0,0,18
the store will close at ten,12.571429,1,1,0,20
head shoulders knees and toes,11.538462,0,0,1,25
vanilla flavored ice cream,12.545455,1,0,0,22
frequently asked questions,11.076923,1,1,1,22
round robin scheduling,10.0,1,1,1,18
information super highway,10.615385,1,0,0,22
my favorite web browser,10.909091,0,1,1,19
the laser printer is jammed,12.545455,0,0,1,23
all good boys deserve fudge,10.222222,1,1,0,21
the second largest country,13.8,1,1,1,21
call for more details,10.8,0,0,0,18
just in time for the party,9.0,1,1,1,19
have a good weekend,6.62069,0,0,0,16
video camera with a zoom lens,13.714286,0,0,1,24
what a monkey sees a monkey will do,12.0,0,1,1,27
that is very unfortunate,12.0,1,0,1,20
the back yard of our house,10.08,1,0,1,20
this is a very good idea,10.857143,0,0,0,19
reading week is just about here,14.181818,1,1,1,24
our fax number has changed,12.0,1,1,1,20
thank you for your help,11.4,0,0,0,19
no exchange without a bill,10.56,0,0,1,22
the early bird gets the worm,9.517241,1,1,0,21
buckle up for safety,10.2,0,0,0,17
this is too much to handle,9.692308,0,1,0,20
protect your environment,9.777778,0,1,1,21
world population is growing,10.666667,1,0,0,23
the library is closed today,13.142857,0,1,0,22
Mary had a little lamb,7.714286,0,0,0,18
